"code","athlete_name","gender","country","nationality","birth_date"
"1532872","ALEKSANYAN Artur","Male","Armenia","Armenia","1991-10-21"
"1532873","AMOYAN Malkhas","Male","Armenia","Armenia","1999-01-22"
"1532874","GALSTYAN Slavik","Male","Armenia","Armenia","1996-12-21"
"1532944","HARUTYUNYAN Arsen","Male","Armenia","Armenia","1999-11-22"
"1532945","TEVANYAN Vazgen","Male","Armenia","Armenia","1999-10-27"
"1532951","ARENAS Lorena","Female","Colombia","Colombia","1993-09-17"
"1533112","McKENZIE Ashley","Male","Jamaica","Jamaica","1989-07-17"
"1533136","BASS BITTAYE Gina Mariam","Female","Gambia","Gambia","1995-05-03"
"1533176","CAMARA Ebrahima","Male","Gambia","Gambia","1996-09-18"
"1533188","RUEDA SANTOS Lizeth","Female","Mexico","Mexico","1994-03-07"
"1533189","TAPIA VIDAL Rosa Maria","Female","Mexico","Mexico","1997-08-27"
"1533190","GRAJALES Crisanto","Male","Mexico","Mexico","1987-05-06"
"1533208","MAAROUFOU Hachim","Male","Comoros","Comoros","1997-02-13"
"1533209","SAADI Maesha","Female","Comoros","Comoros","2007-01-16"
"1533230","DIOSDADO Nuria","Female","Mexico","Mexico","1990-08-22"
"1533231","JIMENEZ Joana","Female","Mexico","Mexico","1993-08-19"
"1533232","SOBRINO Jessica","Female","Mexico","Mexico","1994-05-26"
"1533234","ALFEREZ Regina","Female","Mexico","Mexico","1997-12-01"
"1533235","ARELLANO Fernanda","Female","Mexico","Mexico","2002-02-28"
"1533237","TOSCANO Pamela","Female","Mexico","Mexico","2000-01-13"
"1533239","GONZALEZ Itzamary","Female","Mexico","Mexico","2003-11-14"
"1533240","RODRIGUEZ Samanta","Female","Mexico","Mexico","1994-12-05"
"1533243","INZUNZA Glenda","Female","Mexico","Mexico","2000-03-12"
"1533245","SEHEN Sajjad","Male","Iraq","Iraq","1996-03-08"
"1533359","RUBAIAWI Ali Ammar Yusur","Male","Iraq","Iraq","2004-08-02"
"1533364","ISMAIL Mohamed","Male","Djibouti","Djibouti","1997-01-01"
"1533371","HASSAN Ibrahim","Male","Djibouti","Djibouti","1997-01-01"
"1533372","WAISS Abdi","Male","Djibouti","Djibouti","1996-07-03"
"1533374","HASSAN NOUR Samiyah","Female","Djibouti","Djibouti","1999-12-05"
"1533378","HOUSSEIN BARKAT Houmed","Male","Djibouti","Djibouti","2004-04-04"
"1535180","BARAT Andy","Male","Comoros","Comoros","1997-11-29"
"1535186","MARTINEZ RAMIREZ Miguel Angel","Male","Mexico","Mexico","2001-03-17"
"1535187","VERDE ALVAREZ Marco Alonso","Male","Mexico","Mexico","2002-02-11"
"1535191","GONZALEZ Alegna","Female","Mexico","Mexico","1999-01-02"
"1535195","LOPEZ Jesus Tonatiu","Male","Mexico","Mexico","1997-08-02"
"1535199","PORTILLO Erick","Male","Mexico","Mexico","2000-10-05"
"1535201","MUNOZ Uziel","Male","Mexico","Mexico","1995-09-08"
"1535202","del REAL Diego","Male","Mexico","Mexico","1994-03-06"
"1535203","DOCTOR Jose Luis","Male","Mexico","Mexico","1996-06-14"
"1535212","MORAN Paola","Female","Mexico","Mexico","1997-02-25"
"1535214","GALVAN Laura","Female","Mexico","Mexico","1991-10-05"
"1535216","CORTES Alma Delia","Female","Mexico","Mexico","1997-12-26"
"1535217","CRISTIAN MOSCOTE Citlali","Female","Mexico","Mexico","1995-04-15"
"1535222","PALMA OLIVARES Ever Jair","Male","Mexico","Mexico","1992-03-18"
"1535225","OETLING RAMIREZ Elena","Female","Mexico","Mexico","1993-04-18"
"1535226","AGUILAR CHAVEZ PEON Mariana","Female","Mexico","Mexico","1999-03-12"
"1535252","LECHUGA ALANIS Kenia","Female","Mexico","Mexico","1994-06-26"
"1535260","LOPEZ GARCIA Alexis","Male","Mexico","Mexico","1997-05-01"
"1535267","CARBALLO NIETO Miguel","Male","Mexico","Mexico","1992-07-08"
"1535310","BLANCO Luisa","Female","Colombia","Colombia","2001-11-18"
"1535343","WILLARS VALDEZ Randal","Male","Mexico","Mexico","2002-04-30"
"1535345","BERLIN REYES Kevin","Male","Mexico","Mexico","2001-04-25"
"1535346","OROZCO LOZA Alejandra","Female","Mexico","Mexico","1997-04-19"
"1535348","AGUNDEZ GARCIA Gabriela","Female","Mexico","Mexico","2000-08-04"
"1535349","OLVERA IBARRA Osmar","Male","Mexico","Mexico","2004-06-05"
"1535350","GARZA PEREZ Eugenio","Male","Mexico","Mexico","1996-07-23"
"1535351","FERNANDEZ Federico","Male","Mexico","Mexico","1968-03-28"
"1535354","de LARA OJEDA Miguel Alejandro","Male","Mexico","Mexico","1994-08-09"
"1535356","MORENO Alexa","Female","Mexico","Mexico","1994-08-08"
"1535357","SANDOVAL Ahtziri","Female","Mexico","Mexico","1996-10-05"
"1535358","FLORES Sofia","Female","Mexico","Mexico","2004-12-20"
"1535359","SALAZAR Kimberly","Female","Mexico","Mexico","2004-04-24"
"1535360","TEJEDA Adirem","Female","Mexico","Mexico","2002-06-21"
"1535361","ALCOCER Dalia","Female","Mexico","Mexico","2004-01-02"
"1535362","GUTIERREZ Julia","Female","Mexico","Mexico","2007-09-13"
"1535363","HERNANDEZ Emiliano","Male","Mexico","Mexico","1998-01-27"
"1535364","CARRILLO Duilio","Male","Mexico","Mexico","1997-03-24"
"1535365","OLIVER Mayan","Female","Mexico","Mexico","1993-07-11"
"1535366","SANSORES Carlos","Male","Mexico","Mexico","1997-06-25"
"1535367","SOUZA Daniela Paola","Female","Mexico","Mexico","1999-08-27"
"1535368","CLELAND QUINONEZ Alan","Male","Mexico","Mexico","2002-06-19"
"1535373","GRIGORIAN Aram","Male","United Arab Emirates","United Arab Emirates","1998-06-09"
"1535374","KOSTOEV Dzhafar","Male","United Arab Emirates","United Arab Emirates","1999-04-28"
"1535375","MAGOMEDOMAROV Magomedomar","Male","United Arab Emirates","United Arab Emirates","2001-04-10"
"1535376","TATALASHVILI Nugzari","Male","United Arab Emirates","United Arab Emirates","1990-03-20"
"1535383","BISHRELT Khorloodoi","Female","United Arab Emirates","United Arab Emirates","1998-05-29"
"1535385","HOUSSEIN Alexandre","Male","Djibouti","Djibouti","1998-03-28"
"1535395","AL SAYEGH Safia","Female","United Arab Emirates","United Arab Emirates","2001-09-23"
"1535420","VALENCIA Alejandra","Female","Mexico","Mexico","1994-10-17"
"1535429","RUIZ Angela","Female","Mexico","Mexico","2006-07-28"
"1535430","GRANDE Matias","Male","Mexico","Mexico","2004-04-26"
"1535433","PRIETO Marcela","Female","Mexico","Mexico","1992-03-11"
"1535438","RAMIREZ RAMOS Edson Ismael","Male","Mexico","Mexico","2000-07-10"
"1535439","RODRIGUEZ Gabriela","Female","Mexico","Mexico","1996-12-12"
"1535440","ZAVALA VAZQUEZ Alejandra","Female","Mexico","Mexico","1984-06-16"
"1535441","QUEZADA MARQUEZ Carlos","Male","Mexico","Mexico","1999-10-21"
"1535442","PENAFLOR MOYSEN Aram Michell","Male","Mexico","Mexico","1999-03-11"
"1535444","REINOSO Sofia","Female","Mexico","Mexico","1996-10-23"
"1535448","BRIONES FRAGOZA Beatriz","Female","Mexico","Mexico","1999-02-10"
"1535449","ALANIS MORALES Karina","Female","Mexico","Mexico","1993-12-09"
"1535505","LINARES Natalia","Female","Colombia","Colombia","2003-01-03"
"1535506","LONGA Ronal","Male","Colombia","Colombia","2004-06-30"
"1535511","RUIZ HURTADO Flor Denis","Female","Colombia","Colombia","1991-01-29"
"1535512","ORJUELA Angie","Female","Colombia","Colombia","1989-05-09"
"1535513","RENTERIA RENTERIA Tatiana","Female","Colombia","Colombia","2000-12-22"
"1535514","VALDES PANA Angie Paola","Female","Colombia","Colombia","2000-07-14"
"1535522","ARBOLEDA MENDOZA Valeria","Female","Colombia","Colombia","2002-04-13"
"1535524","BOLANOS LOPEZ Victor","Male","Colombia","Colombia","1994-09-19"
"1535609","ABDOLI Samyar","Male","Islamic Republic of Iran","Islamic Republic of Iran","2002-12-25"
"1535660","SIMWAKA Asimenye","Female","Malawi","Malawi","1997-08-08"
"1535693","AL MARZOOQI Omar Abdul Aziz","Male","United Arab Emirates","United Arab Emirates","2003-03-28"
"1535729","SERRANO Franco","Male","Argentina","Argentina","2000-11-22"
"1535766","KUMEL SAADI","Male","Iraq","Iraq","2004-08-19"
"1535776","JOSEF AL IMAM","Male","Iraq","Iraq","2004-07-27"
"1535804","MUNTADHER ABDULAMEER","Male","Iraq","Iraq","2001-10-06"
"1535805","MUNTADHER MOHAMMED","Male","Iraq","Iraq","2001-06-05"
"1535852","MAEDER Maximilian","Male","Singapore","Singapore","2006-09-12"
"1535853","LO Ryan","Male","Singapore","Singapore","1997-02-26"
"1535854","SIM En Yi Letitia","Female","Singapore","Singapore","2003-03-03"
"1535856","TAN Jonathan Eu Jin","Male","Singapore","Singapore","2002-03-11"
"1535858","PEREIRA Veronica Shanti","Female","Singapore","Singapore","1996-09-20"
"1535910","ZAID TAHSEEN","Male","Iraq","Iraq","2001-01-29"
"1535913","HUSSEIN AMER","Male","Iraq","Iraq","2002-04-28"
"1535914","ANAK LISES Bertrand Rhodict","Male","Malaysia","Malaysia","2005-05-28"
"1535916","HUSSEIN LAWEND","Male","Iraq","Iraq","2001-01-20"
"1535918","WONG Guanjie Johnathan","Male","Malaysia","Malaysia","1992-08-23"
"1535925","MOHAMAD ZUBIR Nur Aisyah","Female","Malaysia","Malaysia","1997-10-04"
"1535926","MOHAMAD LATIF Nur Shazrin","Female","Malaysia","Malaysia","1998-02-02"
"1535927","ALI JASIM","Male","Iraq","Iraq","2004-01-20"
"1535928","KARRAR SAAD","Male","Iraq","Iraq","2001-03-22"
"1535929","KARRAR MOHAMMED","Male","Iraq","Iraq","2001-01-06"
"1535930","NIHAD MOHAMMED","Male","Iraq","Iraq","2001-01-14"
"1535959","DOUA Camil","Male","Mauritania","Mauritania","2002-02-23"
"1535993","CHEW Caroline","Female","Singapore","Singapore","1992-04-18"
"1536032","HERNANDEZ FLORES Margarita","Female","Mexico","Mexico","1985-12-03"
"1536045","SALIMI Arian","Male","Islamic Republic of Iran","Islamic Republic of Iran","2003-12-16"
"1536058","BARKHORDARI Mehran","Male","Islamic Republic of Iran","Islamic Republic of Iran","2000-07-26"
"1536064","NEMATZADEH Mobina","Female","Islamic Republic of Iran","Islamic Republic of Iran","2005-05-17"
"1536067","KIYANICHANDEH Nahid","Female","Islamic Republic of Iran","Islamic Republic of Iran","1998-08-01"
"1536157","MPALI Adam","Male","Gabon","Gabon","2002-05-29"
"1536175","AMISON Naima-Zahra","Female","Djibouti","Djibouti","2003-10-10"
