"medal_date","medal_type","name","gender","country_long","discipline","event","birth_date","code_athlete"
"2024-07-28","Silver ","BOREL Yannick","Male","France","Fencing","Men's Épée Individual","1988-11-05",1916194
"2024-07-28","Bronze ","HARVEY Eleanor","Female","Canada","Fencing","Women's Foil Individual","1995-01-14",1973213
"2024-08-07","Bronze ","RAVET Cyrian","Male","France","Taekwondo","Men -58kg","2002-09-05",1893274
"2024-08-03","Silver ","ABE Uta","Female","Japan","Judo","Mixed Team","2000-07-14",1896760
"2024-08-10","Silver ","AROP Marco","Male","Canada","Athletics","Men's 800m","1998-09-20",1974048
"2024-08-08","Silver ","ZWICKER Martin","Male","Germany","Hockey","Men","1987-02-27",1561324
"2024-07-31","Gold ","WIETEN Tone","Male","Netherlands","Rowing","Men's Quadruple Sculls","1994-03-17",1965586
"2024-08-11","Silver ","WILLIAMS Gabby","Female","France","Basketball","Women","1996-09-09",1573457
"2024-08-11","Silver ","BADIANE Marieme","Female","France","Basketball","Women","1994-11-24",1573440
"2024-08-11","Silver ","JOHANNES Marine","Female","France","Basketball","Women","1995-01-21",1573448
"2024-08-11","Bronze ","SMITH Alanna","Female","Australia","Basketball","Women","1996-09-10",1939943
"2024-08-11","Bronze ","MAGBEGOR Ezi","Female","Australia","Basketball","Women","1999-08-13",1939952
"2024-08-11","Bronze ","TOLO Marianna","Female","Australia","Basketball","Women","1989-07-02",1939964
"2024-08-11","Bronze ","BORLASE Isobel","Female","Australia","Basketball","Women","2004-09-12",1939954
"2024-08-11","Bronze ","JACKSON Lauren","Female","Australia","Basketball","Women","1981-05-11",1939959
"2024-08-11","Bronze ","WHITCOMB Sami","Female","Australia","Basketball","Women","1988-07-20",1939967
"2024-08-11","Gold ","JACOBSEN Niklas Landin","Male","Denmark","Handball","Men","1988-12-19",1895223
"2024-08-11","Gold ","JACOBSEN Magnus Landin","Male","Denmark","Handball","Men","1995-08-20",1895241
"2024-08-11","Silver ","KOESTER Julian","Male","Germany","Handball","Men","2000-03-16",1899227
"2024-08-11","Silver ","HAEFNER Kai","Male","Germany","Handball","Men","1989-07-10",1899185
"2024-08-11","Silver ","HORNKE Tim","Male","Germany","Handball","Men","1990-08-04",1899247
"2024-08-11","Silver ","STEINERT Christoph","Male","Germany","Handball","Men","1990-01-18",1899246
"2024-08-11","Silver ","GRGIC Marko","Male","Germany","Handball","Men","2003-09-11",3546884
"2024-08-03","Bronze ","van DORP Simon","Male","Netherlands","Rowing","Men's Single Sculls","1997-04-10",1965599
"2024-08-11","Silver ","KOHLBACHER Jannik","Male","Germany","Handball","Men","1995-07-19",1899187
"2024-08-11","Bronze ","PEREZ de VARGAS Gonzalo","Male","Spain","Handball","Men","1991-01-10",1948272
"2024-07-29","Bronze ","WIENS Rylan","Male","Canada","Diving","Men's Synchronised 10m Platform","2002-01-02",1959146
"2024-07-29","Bronze ","ZSOMBOR-MURRAY Nathan","Male","Canada","Diving","Men's Synchronised 10m Platform","2003-04-28",1959132
"2024-07-29","Gold ","McEWEN Tom","Male","Great Britain","Equestrian","Eventing Team","1991-05-10",1970917
"2024-08-11","Bronze ","MAQUEDA Jorge","Male","Spain","Handball","Men","1988-02-06",1948260
"2024-08-11","Bronze ","DUJSHEBAEV Alex","Male","Spain","Handball","Men","1992-12-17",1948239
"2024-08-07","Gold ","SARAVI Mohammadhadi","Male","Islamic Republic of Iran","Wrestling","Men's Greco-Roman 97kg","1998-01-06",1544897
"2024-07-29","Bronze ","HUSTON Nyjah","Male","United States of America","Skateboarding","Men's Street","1994-11-30",1944232
"2024-08-11","Bronze ","GARCIANDIA Imanol","Male","Spain","Handball","Men","1995-04-30",1948251
"2024-08-11","Bronze ","SERDIO Abel","Male","Spain","Handball","Men","1994-04-16",1948281
"2024-08-11","Bronze ","CASADO Agustin","Male","Spain","Handball","Men","1996-05-21",1948233
"2024-08-11","Bronze ","GOMEZ Aleix","Male","Spain","Handball","Men","1997-05-07",1948252
"2024-08-11","Bronze ","TARRAFETA Ian","Male","Spain","Handball","Men","1999-01-04",1948288
"2024-08-11","Bronze ","SANCHEZ-MIGALLON Miguel","Male","Spain","Handball","Men","1995-02-08",1948280
"2024-08-11","Bronze ","DUJSHEBAEV Daniel","Male","Spain","Handball","Men","1997-07-04",1948240
"2024-08-11","Bronze ","ODRIOZOLA Kauldi","Male","Spain","Handball","Men","1997-01-07",1948268
"2024-08-11","Bronze ","FERNANDEZ Daniel","Male","Spain","Handball","Men","2001-03-28",1948244
"2024-08-11","Gold ","FAHR Sarah Luisa","Female","Italy","Volleyball","Women","2001-09-12",1921752
"2024-08-11","Gold ","ANTROPOVA Ekaterina","Female","Italy","Volleyball","Women","2003-03-19",1921743
"2024-08-11","Gold ","GIOVANNINI Gaia","Female","Italy","Volleyball","Women","2001-12-17",1969716
"2024-08-11","Gold ","SPIRITO Ilaria","Female","Italy","Volleyball","Women","1994-02-20",1921761
"2024-08-11","Gold ","LUBIAN Marina","Female","Italy","Volleyball","Women","2000-04-11",1921753
"2024-08-11","Gold ","OMORUYI Oghosasere Loveth","Female","Italy","Volleyball","Women","2002-08-25",1921749
"2024-08-11","Silver ","SKINNER Avery","Female","United States of America","Volleyball","Women","1999-04-25",1917762
"2024-08-01","Bronze ","TUROBOYEV Muzaffarbek","Male","Uzbekistan","Judo","Men -100 kg","2000-04-05",1565754
"2024-08-01","Gold ","BELLANDI Alice","Female","Italy","Judo","Women -78 kg","1998-11-20",1925349
"2024-08-01","Silver ","LANIR Inbar","Female","Israel","Judo","Women -78 kg","2000-04-03",1892794
"2024-08-11","Silver ","RETTKE Dana","Female","United States of America","Volleyball","Women","1999-01-21",1917759
"2024-08-10","Bronze ","JORGENSEN Emma Aastrand","Female","Denmark","Canoe Sprint","Women's Kayak Single 500m","1996-01-30",1892423
"2024-08-10","Gold ","CAO Yuan","Male","People's Republic of China","Diving","Men's 10m Platform","1995-02-07",1901556
"2024-08-11","Silver ","CARLINI Lauren","Female","United States of America","Volleyball","Women","1995-02-28",1917738
"2024-08-11","Silver ","LARSON Jordan","Female","United States of America","Volleyball","Women","1986-10-16",1917752
"2024-08-11","Silver ","DREWS Andrea","Female","United States of America","Volleyball","Women","1993-12-25",1917741
"2024-08-11","Gold ","UBOVIC Nemanja","Male","Serbia","Water Polo","Men","1991-02-24",1956465
"2024-08-11","Gold ","RASOVIC Viktor","Male","Serbia","Water Polo","Men","1993-08-13",1956457
"2024-08-11","Gold ","JAKSIC Petar","Male","Serbia","Water Polo","Men","2001-07-20",1956438
"2024-08-11","Gold ","MISOVIC Vladimir","Male","Serbia","Water Polo","Men","2001-09-15",1956448
"2024-08-11","Silver ","BIJAC Marko","Male","Croatia","Water Polo","Men","1991-01-12",1915766
"2024-08-11","Silver ","BURIC Rino","Male","Croatia","Water Polo","Men","1997-04-05",1915768
"2024-08-11","Silver ","FATOVIC Loren","Male","Croatia","Water Polo","Men","1996-11-16",1915778
"2024-08-11","Silver ","BUKIC Luka","Male","Croatia","Water Polo","Men","1994-04-30",1915769
"2024-08-11","Silver ","VUKICEVIC Ante","Male","Croatia","Water Polo","Men","1993-02-24",1915792
"2024-07-28","Silver ","KIM Yeji","Female","Republic of Korea","Shooting","10m Air Pistol Women","1992-09-04",1893930
"2024-08-03","Silver ","FETTER Dieuwke","Female","Netherlands","Rowing","Men's Eight","1991-01-26",1965562
"2024-08-08","Silver ","HELLWIG Malte","Male","Germany","Hockey","Men","1997-10-23",1561374
"2024-08-08","Silver ","DANNEBERG Jean-Paul","Male","Germany","Hockey","Men","2002-11-08",1561402
"2024-08-08","Bronze ","SINGH Jarmanpreet","Male","India","Hockey","Men","1996-07-18",1543019
"2024-08-08","Bronze ","ABHISHEK Abhishek","Male","India","Hockey","Men","1999-08-15",1543026
"2024-08-08","Bronze ","SINGH Manpreet","Male","India","Hockey","Men","1992-06-26",1543059
"2024-08-11","Silver ","ZUVELA Marko","Male","Croatia","Water Polo","Men","2001-12-22",1915791
"2024-08-01","Gold ","de GENNARO Giovanni","Male","Italy","Canoe Slalom","Men's Kayak Single","1992-07-21",1550975
"2024-08-01","Silver ","CASTRYCK Titouan","Male","France","Canoe Slalom","Men's Kayak Single","2004-08-28",1880464
"2024-07-30","Bronze ","KNAPIK-MIAZGA Renata","Female","Poland","Fencing","Women's Épée Team","1988-07-15",1894213
"2024-07-30","Bronze ","SWATOWSKA-WENGLARCZYK Martyna","Female","Poland","Fencing","Women's Épée Team","1994-07-08",1894214
"2024-08-01","Gold ","SCRUGGS Lauren","Female","United States of America","Fencing","Women's Foil Team","2003-01-27",1950643
"2024-08-03","Bronze ","McKELLAR Rowan","Female","Great Britain","Rowing","Women's Eight","1994-05-24",1901080
"2024-08-11","Bronze ","ATWELL Amy","Female","Australia","Basketball","Women","1998-06-30",1939946
"2024-08-10","Bronze ","TYNYBEKOVA Aisuluu","Female","Kyrgyzstan","Wrestling","Women's Freestyle 62kg","1993-05-04",1902786
"2024-07-27","Silver ","HENDERSON Anna","Female","Great Britain","Cycling Road","Women's Individual Time Trial","1998-11-14",1912525
"2024-08-09","Bronze ","RAFFAELI Sofia","Female","Italy","Rhythmic Gymnastics","Individual All-Around","2004-01-19",1923694
"2024-08-09","Gold ","THIAM Nafissatou","Female","Belgium","Athletics","Women's Heptathlon","1994-08-19",1903112
"2024-07-31","Gold ","RUANO OLIVA Adriana","Female","Guatemala","Shooting","Trap Women","1995-06-26",1958899
"2024-07-31","Silver ","STANCO Silvana Maria","Female","Italy","Shooting","Trap Women","1993-01-06",1915317
"2024-08-04","Bronze ","TUNJUNG Gregoria Mariska","Female","Indonesia","Badminton","Women's Singles","1999-08-11",1926315
"2024-08-04","Bronze ","ALCANTARA REYES Yunior","Male","Dominican Republic","Boxing","Men's 51kg","2004-02-10",1908817
"2024-08-06","Gold ","HARRINGTON Kellie","Female","Ireland","Boxing","Women's 60kg","1989-12-11",1555098
"2024-07-28","Silver ","PEATY Adam","Male","Great Britain","Swimming","Men's 100m Breaststroke","1994-12-28",1956469
"2024-08-09","Silver ","ZHANG Ying","Female","People's Republic of China","Hockey","Women","1998-08-29",1926920
"2024-08-10","Silver ","VIVIANI Elia","Male","Italy","Cycling Track","Men's Madison","1989-02-07",1923519
"2024-08-07","Bronze ","PESCHIERA Stefano","Male","Peru","Sailing","Men's Dinghy","1995-01-16",1944316
"2024-07-27","Gold ","EVENEPOEL Remco","Male","Belgium","Cycling Road","Men's Individual Time Trial","2000-01-25",1903136
"2024-08-07","Silver ","RINDOM Anne-Marie","Female","Denmark","Sailing","Women's Dinghy","1991-06-14",1895121
"2024-08-07","Bronze ","HOEST Line Flem","Female","Norway","Sailing","Women's Dinghy","1995-11-10",1878602
"2024-08-07","Silver ","SCHAAR Tom","Male","United States of America","Skateboarding","Men's Park","1999-09-14",1944247
"2024-08-07","Bronze ","AKIO Augusto","Male","Brazil","Skateboarding","Men's Park","2000-12-12",1955669
"2024-08-07","Gold ","MIROSLAW Aleksandra","Female","Poland","Sport Climbing","Women's Speed","1994-02-02",1563327
"2024-08-04","Silver ","DAVTYAN Artur","Male","Armenia","Artistic Gymnastics","Men's Vault","1992-08-08",1915828
"2024-08-03","Bronze ","HOLLINGSWORTH Henry","Male","United States of America","Rowing","Men's Eight","1997-09-05",1944696
