"medal_type","medal_date","athlete_name","discipline","event_name","country_long"
"Bronze ","2024-08-07","Spain","Artistic Swimming","Team","Spain"
"Gold ","2024-07-31","Lasha BEKAURI","Judo","Men -90 kg","Georgia"
"Bronze ","2024-07-31","Great Britain","Diving","Women's Synchronised 10m Platform","Great Britain"
"Gold ","2024-07-31","Korea","Fencing","Men's Sabre Team","Republic of Korea"
"Bronze ","2024-07-31","France","Fencing","Men's Sabre Team","France"
"Silver ","2024-07-31","Netherlands","Rowing","Women's Quadruple Sculls","Netherlands"
"Bronze ","2024-08-05","Sifan HASSAN","Athletics","Women's 5000m","Netherlands"
"Bronze ","2024-07-31","Germany","Rowing","Women's Quadruple Sculls","Germany"
"Gold ","2024-07-31","Adriana RUANO OLIVA","Shooting","Trap Women","Guatemala"
"Silver ","2024-07-31","Silvana Maria STANCO","Shooting","Trap Women","Italy"
"Bronze ","2024-07-31","David POPOVICI","Swimming","Men's 100m Freestyle","Romania"
"Gold ","2024-07-31","Leon MARCHAND","Swimming","Men's 200m Breaststroke","France"
"Silver ","2024-07-31","Zac STUBBLETY-COOK","Swimming","Men's 200m Breaststroke","Australia"
"Bronze ","2024-07-31","Caspar CORBEAU","Swimming","Men's 200m Breaststroke","Netherlands"
"Gold ","2024-07-31","Leon MARCHAND","Swimming","Men's 200m Butterfly","France"
"Silver ","2024-07-31","Kristof MILAK","Swimming","Men's 200m Butterfly","Hungary"
"Bronze ","2024-07-31","Ilya KHARUN","Swimming","Men's 200m Butterfly","Canada"
"Gold ","2024-08-03","CHEN/JIA","Badminton","Women's Doubles","People's Republic of China"
"Gold ","2024-07-31","Sarah SJOESTROEM","Swimming","Women's 100m Freestyle","Sweden"
"Gold ","2024-08-02","Cameron McEVOY","Swimming","Men's 50m Freestyle","Australia"
"Silver ","2024-08-02","Benjamin PROUD","Swimming","Men's 50m Freestyle","Great Britain"
"Bronze ","2024-08-02","Florent MANAUDOU","Swimming","Men's 50m Freestyle","France"
"Gold ","2024-08-02","Kaylee McKEOWN","Swimming","Women's 200m Backstroke","Australia"
"Silver ","2024-08-02","Regan SMITH","Swimming","Women's 200m Backstroke","United States of America"
"Bronze ","2024-08-02","Kylie MASSE","Swimming","Women's 200m Backstroke","Canada"
"Gold ","2024-08-02","SINIAKOVA/MACHAC","Tennis","Mixed Doubles","Czechia"
"Bronze ","2024-08-03","Beatriz Iasmin SOARES FERREIRA","Boxing","Women's 60kg","Brazil"
"Gold ","2024-08-03","Remco EVENEPOEL","Cycling Road","Men's Road Race","Belgium"
"Silver ","2024-08-03","Valentin MADOUAS","Cycling Road","Men's Road Race","France"
"Bronze ","2024-08-03","Great Britain","Equestrian","Dressage Team","Great Britain"
"Silver ","2024-08-03","Korea","Fencing","Women's Sabre Team","Republic of Korea"
"Bronze ","2024-08-04","Mykhaylo KOKHAN","Athletics","Men's Hammer Throw","Ukraine"
"Gold ","2024-08-04","Yaroslava MAHUCHIKH","Athletics","Women's High Jump","Ukraine"
"Gold ","2024-08-10","Tamirat TOLA","Athletics","Men's Marathon","Ethiopia"
"Silver ","2024-08-04","Nicola OLYSLAGERS","Athletics","Women's High Jump","Australia"
"Gold ","2024-08-10","Bakhodir JALOLOV","Boxing","Men's +92kg","Uzbekistan"
"Gold ","2024-08-08","New Zealand","Canoe Sprint","Women's Kayak Four 500m","New Zealand"
"Gold ","2024-07-28","KANO Koki","Fencing","Men's Épée Individual","Japan"
"Silver ","2024-07-28","Yannick BOREL","Fencing","Men's Épée Individual","France"
"Bronze ","2024-07-28","Mohamed ELSAYED","Fencing","Men's Épée Individual","Egypt"
"Silver ","2024-07-27","Luka MKHEIDZE","Judo","Men -60 kg","France"
"Silver ","2024-08-10","Italy","Cycling Track","Men's Madison","Italy"
"Gold ","2024-08-06","Camryn ROGERS","Athletics","Women's Hammer Throw","Canada"
"Silver ","2024-08-06","Annette Nneka ECHIKUNWOKE","Athletics","Women's Hammer Throw","United States of America"
"Silver ","2024-08-10","Brazil","Football","Women","Brazil"
"Gold ","2024-08-03","Germany","Equestrian","Dressage Team","Germany"
"Gold ","2024-08-03","Ryan CROUSER","Athletics","Men's Shot Put","United States of America"
"Silver ","2024-08-03","Joe KOVACS","Athletics","Men's Shot Put","United States of America"
"Gold ","2024-08-03","Julien ALFRED","Athletics","Women's 100m","Saint Lucia"
"Bronze ","2024-08-07","COWLEY R/MONTAG J","Athletics","Marathon Race Walk Relay Mixed","Australia"
"Gold ","2024-08-07","Soufiane EL BAKKALI","Athletics","Men's 3000m Steeplechase","Morocco"
"Bronze ","2024-08-07","Abraham KIBIWOT","Athletics","Men's 3000m Steeplechase","Kenya"
"Silver ","2024-08-09","Pedro PICHARDO","Athletics","Men's Triple Jump","Portugal"
"Silver ","2024-07-27","United States","Swimming","Women's 4 x 100m Freestyle Relay","United States of America"
"Bronze ","2024-07-27","China","Swimming","Women's 4 x 100m Freestyle Relay","People's Republic of China"
"Gold ","2024-07-27","Ariarne TITMUS","Swimming","Women's 400m Freestyle","Australia"
"Silver ","2024-07-27","Summer McINTOSH","Swimming","Women's 400m Freestyle","Canada"
"Bronze ","2024-07-27","Katie LEDECKY","Swimming","Women's 400m Freestyle","United States of America"
"Gold ","2024-07-28","Korea","Archery","Women's Team","Republic of Korea"
"Silver ","2024-07-28","China","Archery","Women's Team","People's Republic of China"
"Gold ","2024-07-28","Jessica FOX","Canoe Slalom","Women's Kayak Single","Australia"
"Silver ","2024-08-01","Netherlands","Rowing","Men's Double Sculls","Netherlands"
"Silver ","2024-08-09","Spencer Richard LEE","Wrestling","Men's Freestyle 57kg","United States of America"
"Gold ","2024-08-03","Romania","Rowing","Women's Eight","Romania"
"Silver ","2024-08-01","Italy","Fencing","Women's Foil Team","Italy"
"Bronze ","2024-08-04","David de PINA","Boxing","Men's 51kg","Cabo Verde"
"Bronze ","2024-08-03","Jasmine MOORE","Athletics","Women's Triple Jump","United States of America"
"Bronze ","2024-08-09","Aman AMAN","Wrestling","Men's Freestyle 57kg","India"
